index,latitude,longitude
592,22.00118877,113.00171145
593,22.00823954,113.00890515
594,22.00804898,113.00869962
595,22.00785842,113.00849408
596,22.00766786,113.00828855
597,22.00747730,113.00808302
598,22.00728674,113.00787748
599,22.00709618,113.00767195
600,22.00690561,113.00746641
601,22.00671505,113.00726088
602,22.00652449,113.00705534
603,22.00633393,113.00684981
604,22.00614337,113.00664428
605,22.00595281,113.00643874
606,22.00576225,113.00623321
607,22.00557168,113.00602767
608,22.00538112,113.00582214
609,22.00519056,113.00561660
610,22.00500000,113.00541107
611,22.00480944,113.00520553
612,22.00461888,113.00500000
613,22.00442832,113.00479447
614,22.00423775,113.00458893
615,22.00404719,113.00438340
616,22.00385663,113.00417786
617,22.00366607,113.00397233
618,22.00347551,113.00376679
619,22.00328495,113.00356126
620,22.00309439,113.00335572
621,22.00290382,113.00315019
622,22.00271326,113.00294466
623,22.00252270,113.00273912
624,22.00233214,113.00253359
625,22.00214158,113.00232805
626,22.00195102,113.00212252
627,22.00176046,113.00191698
628,22.00156989,113.00171145
629,22.00137933,113.00150592
630,22.00843011,113.00869962
631,22.00823954,113.00849408
632,22.00804898,113.00828855
633,22.00785842,113.00808302
634,22.00766786,113.00787748
635,22.00747730,113.00767195
636,22.00728674,113.00746641
637,22.00709618,113.00726088
638,22.00690561,113.00705534
639,22.00671505,113.00684981
640,22.00652449,113.00664428
641,22.00633393,113.00643874
642,22.00614337,113.00623321
643,22.00595281,113.00602767
644,22.00576225,113.00582214
645,22.00557168,113.00561660
646,22.00538112,113.00541107
647,22.00519056,113.00520553
648,22.00500000,113.00500000
649,22.00480944,113.00479447
650,22.00461888,113.00458893
651,22.00442832,113.00438340
652,22.00423775,113.00417786
653,22.00404719,113.00397233
654,22.00385663,113.00376679
655,22.00366607,113.00356126
656,22.00347551,113.00335572
657,22.00328495,113.00315019
658,22.00309439,113.00294466
659,22.00290382,113.00273912
660,22.00271326,113.00253359
661,22.00252270,113.00232805
662,22.00233214,113.00212252
663,22.00214158,113.00191698
664,22.00195102,113.00171145
665,22.00176046,113.00150592
666,22.00156989,113.00130038
667,22.00862067,113.00849408
668,22.00843011,113.00828855
669,22.00823954,113.00808302
670,22.00804898,113.00787748
671,22.00785842,113.00767195
672,22.00766786,113.00746641
673,22.00747730,113.00726088
674,22.00728674,113.00705534
675,22.00709618,113.00684981
676,22.00690561,113.00664428
677,22.00671505,113.00643874
678,22.00652449,113.00623321
679,22.00633393,113.00602767
680,22.00614337,113.00582214
681,22.00595281,113.00561660
682,22.00576225,113.00541107
683,22.00557168,113.00520553
684,22.00538112,113.00500000
685,22.00519056,113.00479447
686,22.00500000,113.00458893
687,22.00480944,113.00438340
688,22.00461888,113.00417786
689,22.00442832,113.00397233
690,22.00423775,113.00376679
691,22.00404719,113.00356126
692,22.00385663,113.00335572
693,22.00366607,113.00315019
694,22.00347551,113.00294466
695,22.00328495,113.00273912
696,22.00309439,113.00253359
697,22.00290382,113.00232805
698,22.00271326,113.00212252
699,22.00252270,113.00191698
700,22.00233214,113.00171145
701,22.00214158,113.00150592
702,22.00195102,113.00130038
703,22.00176046,113.00109485
704,22.00881123,113.00828855
705,22.00862067,113.00808302
706,22.00843011,113.00787748
707,22.00823954,113.00767195
708,22.00804898,113.00746641
709,22.00785842,113.00726088
710,22.00766786,113.00705534
711,22.00747730,113.00684981
712,22.00728674,113.00664428
713,22.00709618,113.00643874
714,22.00690561,113.00623321
715,22.00671505,113.00602767
716,22.00652449,113.00582214
717,22.00633393,113.00561660
718,22.00614337,113.00541107
719,22.00595281,113.00520553
720,22.00576225,113.00500000
721,22.00557168,113.00479447
722,22.00538112,113.00458893
723,22.00519056,113.00438340
724,22.00500000,113.00417786
725,22.00480944,113.00397233
726,22.00461888,113.00376679
727,22.00442832,113.00356126
728,22.00423775,113.00335572
729,22.00404719,113.00315019
730,22.00385663,113.00294466
731,22.00366607,113.00273912
732,22.00347551,113.00253359
733,22.00328495,113.00232805
734,22.00309439,113.00212252
735,22.00290382,113.00191698
736,22.00271326,113.00171145
737,22.00252270,113.00150592
738,22.00233214,113.00130038
739,22.00214158,113.00109485
740,22.00195102,113.00088931
741,22.00900179,113.00808302
742,22.00881123,113.00787748
743,22.00862067,113.00767195
744,22.00843011,113.00746641
745,22.00823954,113.00726088
746,22.00804898,113.00705534
747,22.00785842,113.00684981
748,22.00766786,113.00664428
749,22.00747730,113.00643874
750,22.00728674,113.00623321
751,22.00709618,113.00602767
752,22.00690561,113.00582214
753,22.00671505,113.00561660
754,22.00652449,113.00541107
755,22.00633393,113.00520553
756,22.00614337,113.00500000
757,22.00595281,113.00479447
758,22.00576225,113.00458893
759,22.00557168,113.00438340
760,22.00538112,113.00417786
761,22.00519056,113.00397233
762,22.00500000,113.00376679
763,22.00480944,113.00356126
764,22.00461888,113.00335572
765,22.00442832,113.00315019
766,22.00423775,113.00294466
767,22.00404719,113.00273912
768,22.00385663,113.00253359
769,22.00366607,113.00232805
770,22.00347551,113.00212252
771,22.00328495,113.00191698
772,22.00309439,113.00171145
773,22.00290382,113.00150592
774,22.00271326,113.00130038
775,22.00252270,113.00109485
776,22.00233214,113.00088931
777,22.00214158,113.00068378
778,22.00919235,113.00787748
779,22.00900179,113.00767195
780,22.00881123,113.00746641
781,22.00862067,113.00726088
782,22.00843011,113.00705534
783,22.00823954,113.00684981
784,22.00804898,113.00664428
785,22.00785842,113.00643874
786,22.00766786,113.00623321
787,22.00747730,113.00602767
788,22.00728674,113.00582214
789,22.00709618,113.00561660
790,22.00690561,113.00541107
791,22.00671505,113.00520553
792,22.00652449,113.00500000
